ID	Place	Group	Originals	Simplified	COGID	Alignment
01.0.001	Vrith	Albanian	hã̄n	hã̄n	1	h ã̄ n - -
01.0.002	Pac	Albanian	hḁ̄̃n	hḁ̄̃n	1	h ḁ̄̃ n - -
01.0.003	Burgajet	Albanian	hḁ̄̃n	hḁ̄̃n	1	h ḁ̄̃ n - -
01.0.004	Shkallnuer	Albanian	hḁ̄̃n	hḁ̄̃n	1	h ḁ̄̃ n - -
01.0.005	Çibërraka	Albanian	'hãnǝz	hãnǝz	1	h ã n ǝ z
01.0.006	Këmbëthekër	Albanian	'hǝnǝz	hǝnǝz	1	h ǝ n ǝ z
01.0.007	Luar	Albanian	'hǝnǝz	hǝnǝz	1	h ǝ n ǝ z
01.0.008	Sheper	Albanian	'hǝnǝz	hǝnǝz	1	h ǝ n ǝ z
01.0.008	Sheper	Albanian	'hǝnǝ	hǝnǝ	1	h ǝ n ǝ -
01.0.009	Vuno	Albanian	'hǝnǝ	hǝnǝ	1	h ǝ n ǝ -
01.0.010	Shalës	Albanian	'hǝnǝ	hǝnǝ	1	h ǝ n ǝ -
02.0.001	Schärding	Germanic	m'ōnt	mōnt	2	m ō n - - - - - t - - - -
02.0.002	Geboltskirchen	Germanic	m'õ͟ũʃã͟ẽ	mõ͟ũʃã͟ẽ	2	m õ͟ũ - - - - - - - - - - -
02.0.003	Rohrbach	Germanic	m'õ͟ũ	mõ͟ũ	2	m õ͟ũ - - - - - - - - - - -
02.0.004	Kremsmünster	Germanic	m'õ͟ũ	mõ͟ũ	2	m õ͟ũ - - - - - - - - - - -
02.0.005	Göstling	Germanic	m'ō̃	mō̃	2	m ō̃ - - - - - - - - - - -
02.0.006	Freistadt	Germanic	m'ɑ͟oã͟ẽl	mɑ͟oã͟ẽl	2	m ɑ͟o - - - - - - - - - ã͟ẽ l
02.0.007	Grosspertholz	Germanic	m'õʃε͟i	mõʃε͟i	2	m õ - - - - - - - - - - -
02.0.007	Grosspertholz	Germanic	m'ɑ͟oã͟ẽl	mɑ͟oã͟ẽl	2	m ɑ͟o - - - - - - - - - ã͟ẽ l
02.0.008	Waidhofen a.d. Thaya	Germanic	m'õʃε͟i	mõʃε͟i	2	m õ - - - - - - - - - - -
02.0.009	Hürm bei Melk	Germanic	m'ōnt	mōnt	2	m ō n - - - - - t - - - -
02.0.010	Unterretzbach	Germanic	m'õʃε͟i	mõʃε͟i	2	m õ - - - - - - - - - - -
02.0.011	Absdorf	Germanic	m'õʃε͟i	mõʃε͟i	2	m õ - - - - - - - - - - -
02.0.012	Mistelbach	Germanic	m'ōnt	mōnt	2	m ō n - - - - - t - - - -
02.0.013	Stillfried	Germanic	m'ōnt	mōnt	2	m ō n - - - - - t - - - -
02.0.014	Schruns	Germanic	m'ō̃	mō̃	2	m ō̃ - - - - - - - - - - -
02.0.015	Schnepfau	Germanic	m'õ͟ũ	mõ͟ũ	2	m õ͟ũ - - - - - - - - - - -
02.0.017	Elbigenalp	Germanic	m'ō̃	mō̃	2	m ō̃ - - - - - - - - - - -
02.0.018	Münster	Germanic	m'ōnt	mōnt	2	m ō n - - - - - t - - - -
02.0.019	Zell am Ziller	Germanic	m'ɔ̄nǝ	mɔ̄nǝ	2	m ɔ̄ n ǝ - - - - - - - - -
02.0.020	Brixen im Thale	Germanic	m'ūn	mūn	2	m ū n - - - - - - - - - -
02.0.021	Piesendorf	Germanic	m'ōnt	mōnt	2	m ō n - - - - - t - - - -
02.0.022	Saalfelden	Germanic	m'ōnt	mōnt	2	m ō n - - - - - t - - - -
02.0.024	Dorfbeuern	Germanic	m'ō̃	mō̃	2	m ō̃ - - - - - - - - - - -
02.0.025	Zederhaus	Germanic	m'ōnat	mōnat	2	m ō n a - - - - t - - - -
