ID	Place	Group	Originals	Simplified	COGID	Alignment
01.0.001	Albanian	Albanian	'breʃǝn	breʃǝn	1	b r e ʃ - ǝ n -
01.0.002	Albanian	Albanian	kok'r̄iz	kokr̄iz	2	k o k r̄ i z
01.0.002	Albanian	Albanian	'breʃǝn	breʃǝn	1	b r e ʃ - ǝ n -
01.0.003	Albanian	Albanian	'breʃǝn	breʃǝn	1	b r e ʃ - ǝ n -
01.0.004	Albanian	Albanian	'breʃǝn	breʃǝn	1	b r e ʃ - ǝ n -
01.0.005	Albanian	Albanian	'breʃtǝn	breʃtǝn	1	b r e ʃ t ǝ n -
01.0.006	Albanian	Albanian	'breʃǝr	breʃǝr	1	b r e ʃ - ǝ r -
01.0.007	Albanian	Albanian	'breʃǝr	breʃǝr	1	b r e ʃ - ǝ r -
01.0.008	Albanian	Albanian	'breʃǝr	breʃǝr	1	b r e ʃ - ǝ r -
01.0.009	Albanian	Albanian	'breʃǝr	breʃǝr	1	b r e ʃ - ǝ r -
01.0.010	Albanian	Albanian	'breʃǝr	breʃǝr	1	b r e ʃ - ǝ r -
02.0.001	German	Germanic	h'ɑ̄gǝl	hɑ̄gǝl	3	h ɑ̄ g ǝ l -
02.0.002	German	Germanic	r'īzln	rīzln	4	r ī z l n
02.0.003	German	Germanic	r'īzl	rīzl	4	r ī z l -
02.0.004	German	Germanic	h'ɑ̄gǝl	hɑ̄gǝl	3	h ɑ̄ g ǝ l -
02.0.005	German	Germanic	r'īzl	rīzl	4	r ī z l -
02.0.006	German	Germanic	h'ɑ̄gǝl	hɑ̄gǝl	3	h ɑ̄ g ǝ l -
02.0.007	German	Germanic	ʒ'ɑ͟or	ʒɑ͟or	5	ʒ ɑ͟o - r
02.0.008	German	Germanic	gr'upm	grupm	6	g r u p m - - - -
02.0.009	German	Germanic	h'ɑ̄gǝl	hɑ̄gǝl	3	h ɑ̄ g ǝ l -
02.0.010	German	Germanic	ʒ'ɑ͟or	ʒɑ͟or	5	ʒ ɑ͟o - r
02.0.011	German	Germanic	h'ɑ̄gǝl	hɑ̄gǝl	3	h ɑ̄ g ǝ l -
02.0.012	German	Germanic	h'ɑ̄gǝl	hɑ̄gǝl	3	h ɑ̄ g ǝ l -
02.0.013	German	Germanic	h'ɑ̄gǝl	hɑ̄gǝl	3	h ɑ̄ g ǝ l -
02.0.014	German	Germanic	h'ɑ̄gǝl	hɑ̄gǝl	3	h ɑ̄ g ǝ l -
02.0.015	German	Germanic	h'ɑ̄gǝl	hɑ̄gǝl	3	h ɑ̄ g ǝ l -
02.0.017	German	Germanic	h'ɑ̄gǝl	hɑ̄gǝl	3	h ɑ̄ g ǝ l -
02.0.018	German	Germanic	h'ɑ̄gǝl	hɑ̄gǝl	3	h ɑ̄ g ǝ l -
02.0.019	German	Germanic	h'ɑ̄gǝl	hɑ̄gǝl	3	h ɑ̄ g ǝ l -
02.0.020	German	Germanic	r'īzln	rīzln	4	r ī z l n
02.0.020	German	Germanic	b'ɔ͟ǝsln	bɔ͟ǝsln	7	b ɔ͟ǝ s l - - n
02.0.021	German	Germanic	r'īzln	rīzln	4	r ī z l n
02.0.022	German	Germanic	r'īzln	rīzln	4	r ī z l n
