ID	Place	Group	Originals	Simplified	COGID	Alignment
01.0.001	Albanian	Albanian	frȳ̃ ēr	frȳ̃ēr	1	f r ȳ̃ - - - ē r -
01.0.002	Albanian	Albanian	frȳ̃ ' frỹma	frȳ̃frỹma	1	f r ȳ̃ - f r ỹ m a
01.0.003	Albanian	Albanian	frē̬̃ mu'rḁ̄̃	frē̬̃murḁ̄̃	1	f r ē̬̃ - m - u r ḁ̄̃
01.0.004	Albanian	Albanian	frȳ̃n ēr	frȳ̃nēr	1	f r ȳ̃ - n - ē r -
01.0.005	Albanian	Albanian	frȳ̃ ēr	frȳ̃ēr	1	f r ȳ̃ - - - ē r -
01.0.006	Albanian	Albanian	fryn er	fryner	1	f r y - n - e r -
01.0.007	Albanian	Albanian	fryn er	fryner	1	f r y - n - e r -
01.0.008	Albanian	Albanian	fryn erǝ	frynerǝ	1	f r y - n - e r ǝ
01.0.009	Albanian	Albanian	frin erǝ	frinerǝ	1	f r i - n - e r ǝ
01.0.010	Albanian	Albanian	frin er	friner	1	f r i - n - e r -
02.0.001	German	Germanic	bl'ɔ̄zn	blɔ̄zn	2	b l ɔ̄ - z - - n - - - - -
02.0.002	German	Germanic	bl'ɔ̄zn	blɔ̄zn	2	b l ɔ̄ - z - - n - - - - -
02.0.003	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.004	German	Germanic	bl'ɔ̄zn	blɔ̄zn	2	b l ɔ̄ - z - - n - - - - -
02.0.004	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.005	German	Germanic	bl'ɔ̄zn	blɔ̄zn	2	b l ɔ̄ - z - - n - - - - -
02.0.006	German	Germanic	bl'ɔ̄zn	blɔ̄zn	2	b l ɔ̄ - z - - n - - - - -
02.0.007	German	Germanic	bl'ɔ̄zn	blɔ̄zn	2	b l ɔ̄ - z - - n - - - - -
02.0.008	German	Germanic	g'ε̄̃	gε̄̃	4	g ε̄̃ - - -
02.0.009	German	Germanic	bl'ɔ̄zn	blɔ̄zn	2	b l ɔ̄ - z - - n - - - - -
02.0.009	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.010	German	Germanic	bl'ɔ̄zn	blɔ̄zn	2	b l ɔ̄ - z - - n - - - - -
02.0.010	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.011	German	Germanic	bl'ɔ̄zn	blɔ̄zn	2	b l ɔ̄ - z - - n - - - - -
02.0.012	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.013	German	Germanic	bl'ɔ̄zn	blɔ̄zn	2	b l ɔ̄ - z - - n - - - - -
02.0.014	German	Germanic	g'ō	gō	4	g ō - - -
02.0.015	German	Germanic	l'uftn	luftn	5	- - - l u f t - n
02.0.017	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.018	German	Germanic	bv'o͟efm	bvo͟efm	6	b v o͟e - f m
02.0.019	German	Germanic	g'i͟ǝn	gi͟ǝn	4	g i͟ǝ - n -
02.0.020	German	Germanic	bl'ɔ̄zn	blɔ̄zn	2	b l ɔ̄ - z - - n - - - - -
02.0.020	German	Germanic	g'ēn	gēn	4	g ē - n -
02.0.021	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.022	German	Germanic	β'ɑ̄̃	βɑ̄̃	3	β ɑ̄̃ - - -
02.0.025	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.026	German	Germanic	bl'ɔ̄zn	blɔ̄zn	2	b l ɔ̄ - z - - n - - - - -
02.0.027	German	Germanic	g'ε̄̃	gε̄̃	4	g ε̄̃ - - -
02.0.028	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.029	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.030	German	Germanic	g'ẽ͟ǝ̃	gẽ͟ǝ̃	4	g ẽ͟ǝ̃ - - -
02.0.031	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.032	German	Germanic	pl'ɔ̄zn	plɔ̄zn	7	p l ɔ̄ z n
02.0.033	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.033	German	Germanic	pl'ɔ̄zn	plɔ̄zn	7	p l ɔ̄ z n
02.0.034	German	Germanic	β'ɑ̄̃	βɑ̄̃	3	β ɑ̄̃ - - -
02.0.035	German	Germanic	β'ɑ̄̃	βɑ̄̃	3	β ɑ̄̃ - - -
02.0.036	German	Germanic	g'ε̄̃	gε̄̃	4	g ε̄̃ - - -
02.0.037	German	Germanic	g'ēn	gēn	4	g ē - n -
02.0.038	German	Germanic	g'ε̃͟ĩ	gε̃͟ĩ	4	g ε̃͟ĩ - - -
02.0.039	German	Germanic	β'ɑ̄̃	βɑ̄̃	3	β ɑ̄̃ - - -
02.0.040	German	Germanic	g'ε͟ǝn	gε͟ǝn	4	g ε͟ǝ - n -
02.0.040	German	Germanic	β'intn	βintn	3	β i n t n
02.0.041	German	Germanic	g'ε͟ǝn	gε͟ǝn	4	g ε͟ǝ - n -
02.0.042	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.042	German	Germanic	g'i͟ǝn	gi͟ǝn	4	g i͟ǝ - n -
02.0.043	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.046	German	Germanic	β'ɑ̄n	βɑ̄n	3	β ɑ̄ n - -
02.0.046	German	Germanic	pl'ɔ̄zn	plɔ̄zn	7	p l ɔ̄ z n
02.0.047	German	Germanic	pl'ɔ͟uzn	plɔ͟uzn	7	p l ɔ͟u z n
02.0.047	German	Germanic	g'ε͟ǝn	gε͟ǝn	4	g ε͟ǝ - n -
02.0.048	German	Germanic	pl'ɔ͟uzn	plɔ͟uzn	7	p l ɔ͟u z n
02.1.101	Croatian	Slavic	pū́ʃe	pū́ʃe	8	p ū́ ʃ e
02.1.102	Slovene	Slavic	wḗtǝR pī̀ʃe	wḗtǝRpī̀ʃe	9	- - - - w ḗ t ǝ R p ī̀ ʃ e
03.1.101	Walloon	Romance	il fε vã	ilfεvã	10	i l f ε - - - - - - v ã -
03.1.102	Walloon	Romance	il fε vã	ilfεvã	10	i l f ε - - - - - - v ã -
03.1.103	Walloon	Romance	il fε vã	ilfεvã	10	i l f ε - - - - - - v ã -
03.1.104	Walloon	Romance	il fε vã	ilfεvã	10	i l f ε - - - - - - v ã -
03.1.105	Walloon	Romance	s'uflǝ	suflǝ	11	s u f l ǝ - - - - - -
03.1.106	Walloon	Romance	s'uflǝ	suflǝ	11	s u f l ǝ - - - - - -
03.1.107	Walloon	Romance	s'uflǝ	suflǝ	11	s u f l ǝ - - - - - -
03.1.108	Walloon	Romance	il fε grãd'εr	ilfεgrãdεr	10	i l f ε - - g r ã d - ε r
03.1.108	Walloon	Romance	il jɑ dǝ lawarasjɔ̃	iljɑdǝlawarasjɔ̃	12	i l j ɑ d ǝ l a w a r a s j ɔ̃ - -
03.1.109	Walloon	Romance	il jɑ dy vã tu pl'ε̌	iljɑdyvãtuplε̌	13	i l j ɑ d y v ã t u p l ε̌
03.1.109	Walloon	Romance	il fε tu pl'ε̃ d vã	ilfεtuplε̃dvã	10	i l f ε t u p l ε̃ d v ã -
03.1.109	Walloon	Romance	il fε vã	ilfεvã	10	i l f ε - - - - - - v ã -
04.0.001	Bulgarian	Slavic	d'uxʌ	duxʌ	14	d u x ʌ
04.0.002	Bulgarian	Slavic	d'uxʌ	duxʌ	14	d u x ʌ
04.0.003	Bulgarian	Slavic	d'uxʌ	duxʌ	14	d u x ʌ
04.0.004	Bulgarian	Slavic	d'uxʌ	duxʌ	14	d u x ʌ
04.0.005	Bulgarian	Slavic	v'εε	vεε	15	v ε - - ε
04.0.005	Bulgarian	Slavic	v'ε̬ε	vε̬ε	15	v ε̬ - - ε
04.0.006	Bulgarian	Slavic	v'ε̬ε	vε̬ε	15	v ε̬ - - ε
04.0.006	Bulgarian	Slavic	v'εε	vεε	15	v ε - - ε
04.0.006	Bulgarian	Slavic	d'uxʌ	duxʌ	14	d u x ʌ
04.0.007	Bulgarian	Slavic	v'ε̬ε	vε̬ε	15	v ε̬ - - ε
04.0.007	Bulgarian	Slavic	v'εε	vεε	15	v ε - - ε
04.0.008	Bulgarian	Slavic	d'uxʌ	duxʌ	14	d u x ʌ
04.0.009	Bulgarian	Slavic	v’'εj	v’εj	15	v’ ε j - -
04.0.009	Bulgarian	Slavic	v’'ε̬j	v’ε̬j	15	v’ ε̬ j - -
04.0.010	Bulgarian	Slavic	d'uxʌ	duxʌ	14	d u x ʌ
04.0.011	Bulgarian	Slavic	d'uxʌ	duxʌ	14	d u x ʌ
