ID	Place	Group	Originals	Simplified	COGID	Alignment
01.0.001	Albanian	Albanian	bi̭en ʃĩ	bi̭enʃĩ	1	b - i̭ e n ʃ ĩ -
01.0.002	Albanian	Albanian	bi̭e ʃī̃	bi̭eʃī̃	1	b - i̭ e - ʃ ī̃ -
01.0.003	Albanian	Albanian	bī ʃāi̭	bīʃāi̭	1	b - ī - - ʃ ā i̭
01.0.004	Albanian	Albanian	bi̭e ʃi	bi̭eʃi	1	b - i̭ e - ʃ i -
01.0.005	Albanian	Albanian	bī ʃī̃	bīʃī̃	1	b - ī - - ʃ ī̃ -
01.0.006	Albanian	Albanian	'bie ʃi	bieʃi	1	b - i e - ʃ i -
01.0.007	Albanian	Albanian	'bie ʃi	bieʃi	1	b - i e - ʃ i -
01.0.008	Albanian	Albanian	'bie ʃi	bieʃi	1	b - i e - ʃ i -
01.0.009	Albanian	Albanian	'bie ʃī	bieʃī	1	b - i e - ʃ ī -
01.0.010	Albanian	Albanian	'bie ʃī	bieʃī	1	b - i e - ʃ ī -
02.0.001	German	Germanic	es/ǝt r'εŋt	es/ǝtrεŋt	2	e s/ ǝ t r ε - - - ŋ t
02.0.002	German	Germanic	es/ǝt r'εŋt	es/ǝtrεŋt	2	e s/ ǝ t r ε - - - ŋ t
02.0.003	German	Germanic	es/ǝt r'εŋt	es/ǝtrεŋt	2	e s/ ǝ t r ε - - - ŋ t
02.0.004	German	Germanic	es/ǝt r'εŋt	es/ǝtrεŋt	2	e s/ ǝ t r ε - - - ŋ t
02.0.005	German	Germanic	es/ǝt r'εŋt	es/ǝtrεŋt	2	e s/ ǝ t r ε - - - ŋ t
02.0.006	German	Germanic	es/ǝt r'εŋt	es/ǝtrεŋt	2	e s/ ǝ t r ε - - - ŋ t
02.0.007	German	Germanic	es/ǝt r'εŋt	es/ǝtrεŋt	2	e s/ ǝ t r ε - - - ŋ t
02.0.008	German	Germanic	es/ǝt r'εŋt	es/ǝtrεŋt	2	e s/ ǝ t r ε - - - ŋ t
02.0.009	German	Germanic	es/ǝt r'εŋt	es/ǝtrεŋt	2	e s/ ǝ t r ε - - - ŋ t
02.0.010	German	Germanic	es/ǝt r'εŋt	es/ǝtrεŋt	2	e s/ ǝ t r ε - - - ŋ t
02.0.011	German	Germanic	es/ǝt r'εŋt	es/ǝtrεŋt	2	e s/ ǝ t r ε - - - ŋ t
