ID	Place	Group	Originals	Simplified	COGID	Alignment
01.0.001	Albanian	Albanian	bōr	bōr	1	- - - b ō r -
01.0.002	Albanian	Albanian	bōr	bōr	1	- - - b ō r -
01.0.003	Albanian	Albanian	vdō͕r	vdō͕r	1	v d - - ō͕ r -
01.0.004	Albanian	Albanian	vdōr	vdōr	1	v d - - ō r -
01.0.005	Albanian	Albanian	bōr	bōr	1	- - - b ō r -
01.0.006	Albanian	Albanian	tǝ'borǝ	tǝborǝ	1	- t ǝ b o r ǝ
01.0.007	Albanian	Albanian	dǝ'bor	dǝbor	1	- d ǝ b o r -
01.0.008	Albanian	Albanian	tǝ'borǝ	tǝborǝ	1	- t ǝ b o r ǝ
01.0.009	Albanian	Albanian	d͟zborǝ	d͟zborǝ	1	- d͟z - b o r ǝ
01.0.010	Albanian	Albanian	bor	bor	1	- - - b o r -
02.0.001	German	Germanic	ʒn'ε̄	ʒnε̄	2	ʒ n ε̄
02.0.002	German	Germanic	ʒn'ε̄	ʒnε̄	2	ʒ n ε̄
02.0.003	German	Germanic	ʒn'ε̄	ʒnε̄	2	ʒ n ε̄
02.0.004	German	Germanic	ʒn'ε̄	ʒnε̄	2	ʒ n ε̄
02.0.005	German	Germanic	ʒn'ε̄	ʒnε̄	2	ʒ n ε̄
02.0.006	German	Germanic	ʒn'ε̄	ʒnε̄	2	ʒ n ε̄
02.0.007	German	Germanic	ʒn'ε̄	ʒnε̄	2	ʒ n ε̄
02.0.008	German	Germanic	ʒn'ε̄	ʒnε̄	2	ʒ n ε̄
02.0.009	German	Germanic	ʒn'ε̄	ʒnε̄	2	ʒ n ε̄
02.0.010	German	Germanic	ʒn'ε̄	ʒnε̄	2	ʒ n ε̄
02.0.011	German	Germanic	ʒn'ε̄	ʒnε̄	2	ʒ n ε̄
02.0.012	German	Germanic	ʒn'ε̄	ʒnε̄	2	ʒ n ε̄
02.0.013	German	Germanic	ʒn'ε̄	ʒnε̄	2	ʒ n ε̄
