ID	Place	Group	Originals	Simplified	COGID	Alignment
01.0.001	Albanian	Albanian	ēr	ēr	1	ē r -
01.0.002	Albanian	Albanian	frȳ̃m	frȳ̃m	2	f r ȳ̃ m
01.0.003	Albanian	Albanian	ēr	ēr	1	ē r -
01.0.003	Albanian	Albanian	mu'r̄ḡ̃	mur̄ḡ̃	3	m u r̄ ḡ̃ -
01.0.004	Albanian	Albanian	ēr	ēr	1	ē r -
01.0.005	Albanian	Albanian	ēr	ēr	1	ē r -
01.0.006	Albanian	Albanian	ǝr	ǝr	4	ǝ r
01.0.007	Albanian	Albanian	ǝr	ǝr	4	ǝ r
01.0.008	Albanian	Albanian	'erǝ	erǝ	1	e r ǝ
01.0.009	Albanian	Albanian	'erǝ	erǝ	1	e r ǝ
01.0.009	Albanian	Albanian	mu'r̄ǝ͔	mur̄ǝ͔	3	m u r̄ - ǝ͔
01.0.010	Albanian	Albanian	ǝr	ǝr	4	ǝ r
02.0.001	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.002	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.003	German	Germanic	v'int	vint	6	v i - n t - -
02.0.004	German	Germanic	v'int	vint	6	v i - n t - -
02.0.005	German	Germanic	v'int	vint	6	v i - n t - -
02.0.006	German	Germanic	v'indɔl	vindɔl	6	v i - n d ɔ l
02.0.007	German	Germanic	v'int	vint	6	v i - n t - -
02.0.008	German	Germanic	l'iftl	liftl	5	l i f t - l -
02.0.009	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.010	German	Germanic	v'int	vint	6	v i - n t - -
02.0.010	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.011	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.012	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.013	German	Germanic	v'int	vint	6	v i - n t - -
02.0.014	German	Germanic	l'øftli	løftli	5	l ø f t - l i
02.0.015	German	Germanic	l'uft	luft	5	l u f t - - -
02.0.017	German	Germanic	v'intl(ǝ)	vintlǝ	6	v i - n t l ǝ
02.0.018	German	Germanic	v'int	vint	6	v i - n t - -
02.0.019	German	Germanic	v'intl(ǝ)	vintlǝ	6	v i - n t l ǝ
02.0.020	German	Germanic	v'intl(ǝ)	vintlǝ	6	v i - n t l ǝ
02.0.021	German	Germanic	v'int	vint	6	v i - n t - -
02.0.021	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.022	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.022	German	Germanic	v'intl(ǝ)	vintlǝ	6	v i - n t l ǝ
02.0.024	German	Germanic	v'int	vint	6	v i - n t - -
02.0.025	German	Germanic	v'int	vint	6	v i - n t - -
02.0.026	German	Germanic	v'int	vint	6	v i - n t - -
02.0.027	German	Germanic	l'iftl	liftl	5	l i f t - l -
02.0.027	German	Germanic	v'intl(ǝ)	vintlǝ	6	v i - n t l ǝ
02.0.028	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.029	German	Germanic	v'int	vint	6	v i - n t - -
02.0.030	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.031	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.032	German	Germanic	v'int	vint	6	v i - n t - -
02.0.033	German	Germanic	v'int	vint	6	v i - n t - -
02.0.034	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.035	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.036	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.037	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.038	German	Germanic	v'int	vint	6	v i - n t - -
02.0.039	German	Germanic	v'int	vint	6	v i - n t - -
02.0.040	German	Germanic	l'iftlǝ	liftlǝ	5	l i f t - l ǝ
02.0.041	German	Germanic	l'iftl	liftl	5	l i f t - l -
02.0.042	German	Germanic	l'iftl	liftl	5	l i f t - l -
02.0.043	German	Germanic	v'int	vint	6	v i - n t - -
02.0.044	German	Germanic	v'int	vint	6	v i - n t - -
02.0.046	German	Germanic	v'int	vint	6	v i - n t - -
02.0.046	German	Germanic	l'iftlǝ	liftlǝ	5	l i f t - l ǝ
02.0.047	German	Germanic	l'iftɔl	liftɔl	5	l i f t ɔ l -
02.0.047	German	Germanic	v'int	vint	6	v i - n t - -
02.0.048	German	Germanic	v'int	vint	6	v i - n t - -
02.1.101	Croatian	Slavic	vi͟étr̩	vi͟étr̩	7	v - i͟é t - r̩
02.1.102	Slovene	Slavic	wḗtǝR	wḗtǝR	7	w - ḗ t ǝ R
03.1.101	Walloon	Romance	vã	vã	8	- - - v ã
03.1.102	Walloon	Romance	vã	vã	8	- - - v ã
03.1.103	Walloon	Romance	vã	vã	8	- - - v ã
03.1.104	Walloon	Romance	vã	vã	8	- - - v ã
03.1.105	Walloon	Romance	vã	vã	8	- - - v ã
03.1.106	Walloon	Romance	vã	vã	8	- - - v ã
03.1.107	Walloon	Romance	ε̄r	ε̄r	9	ε̄ r
03.1.108	Walloon	Romance	ε̄r	ε̄r	9	ε̄ r
03.1.109	Walloon	Romance	vã	vã	8	- - - v ã
04.0.001	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.001	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.001	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.002	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.002	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.002	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.003	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.003	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.003	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.004	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.004	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.004	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.005	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.005	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.005	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.006	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.006	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.006	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.007	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.007	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.007	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.008	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.008	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.008	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.009	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.009	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.009	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.010	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.010	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.010	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.011	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.011	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.011	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.012	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.012	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.012	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.013	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.013	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.013	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.014	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.014	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.014	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.015	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.015	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.015	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.016	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.016	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.016	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.017	Bulgarian	Slavic	v'εtεr	vεtεr	7	v - ε t ε r
04.0.017	Bulgarian	Slavic	v'ε̬ter	vε̬ter	7	v - ε̬ t e r
04.0.018	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.018	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.018	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.019	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.019	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.019	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.020	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.020	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.020	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.021	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.021	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.021	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.022	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
04.0.022	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.022	Bulgarian	Slavic	v'εtǝr	vεtǝr	7	v - ε t ǝ r
04.0.023	Bulgarian	Slavic	v'εtεr	vεtεr	7	v - ε t ε r
04.0.023	Bulgarian	Slavic	v'ε̬ter	vε̬ter	7	v - ε̬ t e r
04.0.024	Bulgarian	Slavic	v'ε̬tǝr	vε̬tǝr	7	v - ε̬ t ǝ r
04.0.024	Bulgarian	Slavic	v’'Atǝr	v’Atǝr	7	v’ - A t ǝ r
