Left	Grapheme	Reduce	Class	Frequency	Codepoint	UnicodeName	Comment
⁂	̱	̄	D	41	U+0331	COMBINING MACRON BELOW	Merging COMBINING MACRON BELOW (0331) with COMBINING MACRON (0304); probably same function
	 			6360	U+0020	SPACE
⁂	\:	:	T	479	U+003A	COLON
⁂	\.	.	T	512	U+002E	FULL STOP
	…	…		5	U+2026	HORIZONTAL ELLIPSIS
	'	'	S	26618	U+0027	APOSTROPHE	Stress mark: removed due to inconsistent use.
⁂	’	’	M	4591	U+2019	RIGHT SINGLE QUOTATION MARK
	\(			401	U+0028	LEFT PARENTHESIS	Function: "optional", not necessary, therefore removed.
	\)			400	U+0029	RIGHT PARENTHESIS	Function: "optional", not necessary, therefore removed.
⁂	/	/	T	296	U+002F	SOLIDUS
⁂	\\	\	T	605	U+005C	REVERSE SOLIDUS
	†			9	U+2020	DAGGER	Unclear function, removed!
	‿			8	U+203F	UNDERTIE	Unclear function, removed!
	ˌ	ˌ	S	118	U+02CC	MODIFIER LETTER LOW VERTICAL LINE	Stress mark: removed due to inconsistent use.
⁂	△	△	T	219	U+25B3	WHITE UP-POINTING TRIANGLE
	a	a	L	10824	U+0061	LATIN SMALL LETTER A
	A	A	L	5526	U+0041	LATIN CAPITAL LETTER A
	æ	æ	L	671	U+00E6	LATIN SMALL LETTER AE
	ɑ	ɑ	L	6079	U+0251	LATIN SMALL LETTER ALPHA
	b	b	L	5875	U+0062	LATIN SMALL LETTER B
	c	c	L	426	U+0063	LATIN SMALL LETTER C
	d	d	L	5688	U+0064	LATIN SMALL LETTER D
	ð	δ	L	70	U+00F0	LATIN SMALL LETTER ETH	Merging LATIN SMALL LETTER ETH (00F0) with GREEK SMALL LETTER DELTA (03B4); probably same function
	đ	δ	L	1	U+0111	LATIN SMALL LETTER D WITH STROKE
	e	e	L	9473	U+0065	LATIN SMALL LETTER E
	E	E	L	1485	U+0045	LATIN CAPITAL LETTER E
	ɇ	ɇ	L	299	U+0247	LATIN SMALL LETTER E WITH STROKE
	ǝ	ǝ	L	6941	U+01DD	LATIN SMALL LETTER TURNED E
	ɜ	ε	L	13	U+025C	LATIN SMALL LETTER REVERSED OPEN E	Merging LATIN SMALL LETTER REVERSED OPEN E (025C) with GREEK SMALL LETTER EPSILON (03B5); probably same function.
	f	f	L	2156	U+0066	LATIN SMALL LETTER F
	g	g	L	3516	U+0067	LATIN SMALL LETTER G
	ɣ	ɣ	L	1009	U+0263	LATIN SMALL LETTER GAMMA
	h	h	L	2006	U+0068	LATIN SMALL LETTER H
	ħ	h	L	1	U+0127	LATIN SMALL LETTER H WITH STROKE
⁂	ʰ	ʰ	M	1852	U+02B0	MODIFIER LETTER SMALL H
	i	i	L	11367	U+0069	LATIN SMALL LETTER I
	ı	i	L	34	U+0131	LATIN SMALL LETTER DOTLESS I	Merging LATIN SMALL LETTER DOTLESS I (0131) with LATIN SMALL LETTER I (0069); probably same function.
	ɨ	ɨ	L	933	U+0268	LATIN SMALL LETTER I WITH STROKE
	j	j	L	3770	U+006A	LATIN SMALL LETTER J
	ȷ	j	L	28	U+0237	LATIN SMALL LETTER DOTLESS J	Merging LATIN SMALL LETTER DOTLESS J (0237) with LATIN SMALL LETTER J (006A); probably same function.
	ɉ	ɉ	L	36	U+0249	LATIN SMALL LETTER J WITH STROKE
	k	k	L	10102	U+006B	LATIN SMALL LETTER K
	l	l	L	10315	U+006C	LATIN SMALL LETTER L
	ł	ł	L	334	U+0142	LATIN SMALL LETTER L WITH STROKE
	ʎ	ʎ	L	472	U+028E	LATIN SMALL LETTER TURNED Y
	m	m	L	6227	U+006D	LATIN SMALL LETTER M
	n	n	L	9540	U+006E	LATIN SMALL LETTER N
	ɲ	ɲ	L	439	U+0272	LATIN SMALL LETTER N WITH LEFT HOOK
	ɳ	ŋ	L	30	U+0273	LATIN SMALL LETTER N WITH RETROFLEX HOOK	Merging LATIN SMALL LETTER N WITH RETROFLEX HOOK (0273) with LATIN SMALL LETTER ENG (014B); probably same function.
	ŋ	ŋ	L	741	U+014B	LATIN SMALL LETTER ENG
	o	o	L	7921	U+006F	LATIN SMALL LETTER O
	ø	ø	L	754	U+00F8	LATIN SMALL LETTER O WITH STROKE
	œ	œ	L	288	U+0153	LATIN SMALL LIGATURE OE
	ɔ	ɔ	L	4214	U+0254	LATIN SMALL LETTER OPEN O
	ᵓ	ɔ	L	91	U+1D53	MODIFIER LETTER SMALL OPEN O	Merging MODIFIER LETTER SMALL OPEN O (1D53) with LATIN SMALL LETTER OPEN O (0254)
	p	p	L	5662	U+0070	LATIN SMALL LETTER P
	q	q	L	184	U+0071	LATIN SMALL LETTER Q
	r	r	L	13861	U+0072	LATIN SMALL LETTER R
	R	R	L	611	U+0052	LATIN CAPITAL LETTER R
	ʳ	r	L	1	U+02B3	MODIFIER LETTER SMALL R
	s	s	L	9941	U+0073	LATIN SMALL LETTER S
	ʃ	ʃ	L	4708	U+0283	LATIN SMALL LETTER SQUAT REVERSED ESH
	ʅ	ʃ	L	3	U+0285	LATIN SMALL LETTER SQUAT REVERSED ESH	Merging LATIN SMALL LETTER SQUAT REVERSED ESH (0285) with LATIN SMALL LETTER SQUAT REVERSED ESH (0283); probably same function
	t	t	L	12164	U+0074	LATIN SMALL LETTER T
	u	u	L	8752	U+0075	LATIN SMALL LETTER U
	ʉ	ʉ	L	130	U+0289	LATIN SMALL LETTER U BAR
	ɥ	ɥ	L	41	U+0265	LATIN SMALL LETTER TURNED H
	v	v	L	3685	U+0076	LATIN SMALL LETTER V
	ʌ	ʌ	L	671	U+028C	LATIN SMALL LETTER TURNED V
	ᵛ	v	L	1	U+1D5B	MODIFIER LETTER SMALL V
	w	w	L	1472	U+0077	LATIN SMALL LETTER W
⁂	ʷ	w	M	37	U+02B7	MODIFIER LETTER SMALL W	Merging MODIFIER LETTER SMALL W (02B7) with LATIN SMALL LETTER W (0077)
	x	x	L	1328	U+0078	LATIN SMALL LETTER X
	y	y	L	1169	U+0079	LATIN SMALL LETTER Y
	ʸ	y	L	1	U+02B8	MODIFIER LETTER SMALL Y
	z	z	L	2347	U+007A	LATIN SMALL LETTER Z
	ƶ	z	L	56	U+01B6	LATIN SMALL LETTER Z WITH STROKE	Merging LATIN SMALL LETTER Z WITH STROKE (01B6) with LATIN SMALL LETTER Z (007A); probably same function
	ʒ	ʒ	L	1216	U+0292	LATIN SMALL LETTER EZH
	ʔ	ˀ	L	54	U+0294	LATIN LETTER GLOTTAL STOP	Merging LATIN LETTER GLOTTAL STOP (0294) with MODIFIER LETTER GLOTTAL STOP (02C0); probably same function.
	ˀ	ˀ	L	1161	U+02C0	MODIFIER LETTER GLOTTAL STOP
	β	β	L	523	U+03B2	GREEK SMALL LETTER BETA
	δ	δ	L	396	U+03B4	GREEK SMALL LETTER DELTA
	ε	ε	L	5104	U+03B5	GREEK SMALL LETTER EPSILON
	θ	θ	L	345	U+03B8	GREEK SMALL LETTER THETA
	λ	ʎ	L	110	U+03BB	GREEK SMALL LETTER LAMDA	Merging GREEK SMALL LETTER LAMDA (03BB) and LATIN SMALL LETTER TURNED Y (028E); probably same function.
	φ	φ	L	5	U+03C6	GREEK SMALL LETTER PHI
	Ω	Ω	L	518	U+03A9	GREEK CAPITAL LETTER OMEGA
	LD*[M]*D*(B+S?L?D*[M]*D*)*
	TD*B?M?
