Left	Grapheme	Reduce	Class	Frequency	Codepoint	UnicodeName	Comment
⁂	́	́	D	338	U+0301	COMBINING ACUTE ACCENT
⁂	̀	̀	D	126	U+0300	COMBINING GRAVE ACCENT
⁂	̆	̆	D	83	U+0306	COMBINING BREVE
⁂	̂	̂	D	88	U+0302	COMBINING CIRCUMFLEX ACCENT
⁂	̌	̌	D	153	U+030C	COMBINING CARON
⁂	̊	̥	D	24	U+030A	COMBINING RING ABOVE	Merging COMBINING RING ABOVE (030A) and COMBINING RING BELOW (0325); probably same function
⁂	̈	̈	D	139	U+0308	COMBINING DIAERESIS
⁂	̃	̃	D	1283	U+0303	COMBINING TILDE
⁂	̇	̣	D	20	U+0307	COMBINING DOT ABOVE	Merging COMBINING DOT ABOVE (0307) with COMBINING DOT BELOW (0323); probably same function
⁂	̧	̧	D	244	U+0327	COMBINING CEDILLA
⁂	̄	̄	D	9192	U+0304	COMBINING MACRON
⁂	͞	͟	B	19	U+035E	COMBINING DOUBLE MACRON	Merging COMBINING DOUBLE MACRON (035E) with COMBINING DOUBLE MACRON BELOW (035F), probably same function
⁂	̍	̩	D	39	U+030D	COMBINING VERTICAL LINE ABOVE	Merging COMBINING VERTICAL LINE ABOVE (030D) with COMBINING VERTICAL LINE BEWLOW (0329); probably same function
⁂	͔	͔	D	1015	U+0354	COMBINING LEFT ARROWHEAD BELOW
⁂	̬	̬	D	1314	U+032C	COMBINING CARON BELOW
⁂	̯	̯	D	587	U+032F	COMBINING INVERTED BREVE BELOW
⁂	͟	͟	B	7318	U+035F	COMBINING DOUBLE MACRON BELOW
⁂	͕	͕	D	238	U+0355	COMBINING RIGHT ARROWHEAD BELOW
⁂	̩	̩	D	519	U+0329	COMBINING VERTICAL LINE BELOW
⁂	̷	̷	D	238	U+0337	COMBINING SHORT SOLIDUS OVERLAY
⁂	̵	̵	D	163	U+0335	COMBINING SHORT STROKE OVERLAY
⁂	̑	̯	D	8	U+0311	COMBINING INVERTED BREVE	Merging COMBINING INVERTED BREVE (0311) with COMBINING INVERTED BREVE BELOW (032F); probably same function
⁂	̣	̣	D	124	U+0323	COMBINING DOT BELOW
⁂	̤	̈	D	56	U+0324	COMBINING DIAERESIS BELOW	Merging COMBINING DIAERESIS BELOW (0324) with COMBINING DIAERESIS (0308); probably same function, if at all.
⁂	̥	̥	D	223	U+0325	COMBINING RING BELOW
⁂	̭	̭	D	2116	U+032D	COMBINING CIRCUMFLEX ACCENT BELOW
⁂	̮	̮	D	103	U+032E	COMBINING BREVE BELOW
