Grapheme	Reduce	Frequency	Codepoint	UnicodeName	Comment
́	́	568	U+0301	COMBINING ACUTE ACCENT
̀	̀	263	U+0300	COMBINING GRAVE ACCENT
̆	̆	141	U+0306	COMBINING BREVE
̂	̂	170	U+0302	COMBINING CIRCUMFLEX ACCENT
̌	̌	410	U+030C	COMBINING CARON
̊	̥	46	U+030A	COMBINING RING ABOVE	Merging COMBINING RING ABOVE (030A) and COMBINING RING BELOW (0325); probably same function
̈	̈	837	U+0308	COMBINING DIAERESIS
̃	̃	2252	U+0303	COMBINING TILDE
̇	̣	35	U+0307	COMBINING DOT ABOVE	Merging COMBINING DOT ABOVE (0307) with COMBINING DOT BELOW (0323); probably same function
̧	̧	559	U+0327	COMBINING CEDILLA
̄	̄	16888	U+0304	COMBINING MACRON
͞	͟	30	U+035E	COMBINING DOUBLE MACRON	Merging COMBINING DOUBLE MACRON (035E) with COMBINING DOUBLE MACRON BELOW (035F), probably same function
̍	̩	88	U+030D	COMBINING VERTICAL LINE ABOVE	Merging COMBINING VERTICAL LINE ABOVE (030D) with COMBINING VERTICAL LINE BEWLOW (0329); probably same function
͔	͔	1708	U+0354	COMBINING LEFT ARROWHEAD BELOW
̬	̬	2548	U+032C	COMBINING CARON BELOW
̯	̯	830	U+032F	COMBINING INVERTED BREVE BELOW
͟	͟	16098	U+035F	COMBINING DOUBLE MACRON BELOW
͕	͕	662	U+0355	COMBINING RIGHT ARROWHEAD BELOW
̩	̩	979	U+0329	COMBINING VERTICAL LINE BELOW
̷	̷	307	U+0337	COMBINING SHORT SOLIDUS OVERLAY
̵	̵	143	U+0335	COMBINING SHORT STROKE OVERLAY
̑	̯	13	U+0311	COMBINING INVERTED BREVE	Merging COMBINING INVERTED BREVE (0311) with COMBINING INVERTED BREVE BELOW (032F); probably same function
̣	̣	185	U+0323	COMBINING DOT BELOW
̤	̈	117	U+0324	COMBINING DIAERESIS BELOW	Merging COMBINING DIAERESIS BELOW (0324) with COMBINING DIAERESIS (0308); probably same function, if at all.
̥	̥	444	U+0325	COMBINING RING BELOW
̭	̭	4344	U+032D	COMBINING CIRCUMFLEX ACCENT BELOW
̮	̮	193	U+032E	COMBINING BREVE BELOW
̱	̄	91	U+0331	COMBINING MACRON BELOW	Merging COMBINING MACRON BELOW (0331) with COMBINING MACRON (0304); probably same function
 		11458	U+0020	SPACE	Removing spaces
:	:	919	U+003A	COLON
.	.	1263	U+002E	FULL STOP
…		5	U+2026	HORIZONTAL ELLIPSIS	remove
'		52926	U+0027	APOSTROPHE	Stress removed
’	’	9682	U+2019	RIGHT SINGLE QUOTATION MARK
(		708	U+0028	LEFT PARENTHESIS	Function: "optional", not necessary, therefore removed.
)		703	U+0029	RIGHT PARENTHESIS	Function: "optional", not necessary, therefore removed.
/	/	943	U+002F	SOLIDUS
\	\	993	U+005C	REVERSE SOLIDUS
†		10	U+2020	DAGGER	Unclear function, removed!
‿		25	U+203F	UNDERTIE	Unclear function, removed!
ˌ		368	U+02CC	MODIFIER LETTER LOW VERTICAL LINE	Stress removed
△	△	395	U+25B3	WHITE UP-POINTING TRIANGLE
a	a	21229	U+0061	LATIN SMALL LETTER A
A	A	10608	U+0041	LATIN CAPITAL LETTER A
æ	æ	1265	U+00E6	LATIN SMALL LETTER AE
ɑ	ɑ	12214	U+0251	LATIN SMALL LETTER ALPHA
b	b	10550	U+0062	LATIN SMALL LETTER B
c	c	948	U+0063	LATIN SMALL LETTER C
d	d	10076	U+0064	LATIN SMALL LETTER D
ð	δ	8	U+00F0	LATIN SMALL LETTER ETH	Merging LATIN SMALL LETTER ETH (00F0) with GREEK SMALL LETTER DELTA (03B4); probably same function
đ	δ	151	U+0111	LATIN SMALL LETTER D WITH STROKE
e	e	18407	U+0065	LATIN SMALL LETTER E
E	E	2591	U+0045	LATIN CAPITAL LETTER E
