Grapheme	Reduce	Frequency	Codepoint	UnicodeName	Comment
ɇ	ɇ	641	U+0247	LATIN SMALL LETTER E WITH STROKE
ǝ	ǝ	13964	U+01DD	LATIN SMALL LETTER TURNED E
ɜ	ε	77	U+025C	LATIN SMALL LETTER REVERSED OPEN E	Merging LATIN SMALL LETTER REVERSED OPEN E (025C) with GREEK SMALL LETTER EPSILON (03B5); probably same function.
f	f	4204	U+0066	LATIN SMALL LETTER F
g	g	7095	U+0067	LATIN SMALL LETTER G
ɣ	ɣ	1782	U+0263	LATIN SMALL LETTER GAMMA
h	h	4266	U+0068	LATIN SMALL LETTER H
ħ	h	2849	U+0127	LATIN SMALL LETTER H WITH STROKE
ʰ	ʰ	1	U+02B0	MODIFIER LETTER SMALL H
i	i	23699	U+0069	LATIN SMALL LETTER I
ı	i	66	U+0131	LATIN SMALL LETTER DOTLESS I	Merging LATIN SMALL LETTER DOTLESS I (0131) with LATIN SMALL LETTER I (0069); probably same function.
ɨ	ɨ	2012	U+0268	LATIN SMALL LETTER I WITH STROKE
j	j	7149	U+006A	LATIN SMALL LETTER J
ȷ	j	70	U+0237	LATIN SMALL LETTER DOTLESS J	Merging LATIN SMALL LETTER DOTLESS J (0237) with LATIN SMALL LETTER J (006A); probably same function.
ɉ	ɉ	77	U+0249	LATIN SMALL LETTER J WITH STROKE
k	k	23142	U+006B	LATIN SMALL LETTER K
l	l	20159	U+006C	LATIN SMALL LETTER L
ł	ł	570	U+0142	LATIN SMALL LETTER L WITH STROKE
ʎ	ʎ	830	U+028E	LATIN SMALL LETTER TURNED Y
m	m	12706	U+006D	LATIN SMALL LETTER M
n	n	19745	U+006E	LATIN SMALL LETTER N
ɲ	ɲ	1031	U+0272	LATIN SMALL LETTER N WITH LEFT HOOK
ɳ	ŋ	115	U+0273	LATIN SMALL LETTER N WITH RETROFLEX HOOK	Merging LATIN SMALL LETTER N WITH RETROFLEX HOOK (0273) with LATIN SMALL LETTER ENG (014B); probably same function.
ŋ	ŋ	1467	U+014B	LATIN SMALL LETTER ENG
o	o	15409	U+006F	LATIN SMALL LETTER O
ø	ø	1409	U+00F8	LATIN SMALL LETTER O WITH STROKE
œ	œ	513	U+0153	LATIN SMALL LIGATURE OE
ɔ	ɔ	8251	U+0254	LATIN SMALL LETTER OPEN O
ᵓ	ɔ	147	U+1D53	MODIFIER LETTER SMALL OPEN O	Merging MODIFIER LETTER SMALL OPEN O (1D53) with LATIN SMALL LETTER OPEN O (0254)
p	p	11880	U+0070	LATIN SMALL LETTER P
q	q	373	U+0071	LATIN SMALL LETTER Q
r	r	26203	U+0072	LATIN SMALL LETTER R
ʳ	r	1275	U+02B3	MODIFIER LETTER SMALL R
R	R	1	U+0052	LATIN CAPITAL LETTER R
s	s	19852	U+0073	LATIN SMALL LETTER S
ʃ	ʃ	10296	U+0283	LATIN SMALL LETTER SQUAT REVERSED ESH
ʅ	ʃ	50	U+0285	LATIN SMALL LETTER SQUAT REVERSED ESH	Merging LATIN SMALL LETTER SQUAT REVERSED ESH (0285) with LATIN SMALL LETTER SQUAT REVERSED ESH (0283); probably same function
t	t	25392	U+0074	LATIN SMALL LETTER T
u	u	18104	U+0075	LATIN SMALL LETTER U
ʉ	ʉ	206	U+0289	LATIN SMALL LETTER U BAR
ɥ	ɥ	61	U+0265	LATIN SMALL LETTER TURNED H
v	v	6831	U+0076	LATIN SMALL LETTER V
ᵛ	v	5	U+1D5B	MODIFIER LETTER SMALL V
ʌ	ʌ	1385	U+028C	LATIN SMALL LETTER TURNED V
w	w	2802	U+0077	LATIN SMALL LETTER W
ʷ	ʷ	174	U+02B7	MODIFIER LETTER SMALL W
x	x	2289	U+0078	LATIN SMALL LETTER X
y	y	2524	U+0079	LATIN SMALL LETTER Y
ʸ	y	1	U+02B8	MODIFIER LETTER SMALL Y
z	z	4337	U+007A	LATIN SMALL LETTER Z
ƶ	z	68	U+01B6	LATIN SMALL LETTER Z WITH STROKE	Merging LATIN SMALL LETTER Z WITH STROKE (01B6) with LATIN SMALL LETTER Z (007A); probably same function
ʒ	ʒ	2462	U+0292	LATIN SMALL LETTER EZH
ʔ	ˀ	66	U+0294	LATIN LETTER GLOTTAL STOP	Merging LATIN LETTER GLOTTAL STOP (0294) with MODIFIER LETTER GLOTTAL STOP (02C0); probably same function.
ˀ	ˀ	2023	U+02C0	MODIFIER LETTER GLOTTAL STOP
β	β	1010	U+03B2	GREEK SMALL LETTER BETA
δ	δ	874	U+03B4	GREEK SMALL LETTER DELTA
ε	ε	9748	U+03B5	GREEK SMALL LETTER EPSILON
θ	θ	608	U+03B8	GREEK SMALL LETTER THETA
λ	ʎ	210	U+03BB	GREEK SMALL LETTER LAMDA	Merging GREEK SMALL LETTER LAMDA (03BB) and LATIN SMALL LETTER TURNED Y (028E); probably same function.
φ	φ	26	U+03C6	GREEK SMALL LETTER PHI
Ω	Ω	992	U+03A9	GREEK CAPITAL LETTER OMEGA
