Left	Grapheme	Class	Codepoint	UnicodeName
⁂	́	D	U+0301	COMBINING ACUTE ACCENT
⁂	̀	D	U+0300	COMBINING GRAVE ACCENT
⁂	̆	D	U+0306	COMBINING BREVE
⁂	̂	D	U+0302	COMBINING CIRCUMFLEX ACCENT
⁂	̌	D	U+030C	COMBINING CARON
⁂	̈	D	U+0308	COMBINING DIAERESIS
⁂	̃	D	U+0303	COMBINING TILDE
⁂	̧	D	U+0327	COMBINING CEDILLA
⁂	̄	D	U+0304	COMBINING MACRON
⁂	͔	D	U+0354	COMBINING LEFT ARROWHEAD BELOW
⁂	̬	D	U+032C	COMBINING CARON BELOW
⁂	̯	D	U+032F	COMBINING INVERTED BREVE BELOW
⁂	͟	B	U+035F	COMBINING DOUBLE MACRON BELOW
⁂	͕	D	U+0355	COMBINING RIGHT ARROWHEAD BELOW
⁂	̩	D	U+0329	COMBINING VERTICAL LINE BELOW
⁂	̷	D	U+0337	COMBINING SHORT SOLIDUS OVERLAY
⁂	̵	D	U+0335	COMBINING SHORT STROKE OVERLAY
⁂	̣	D	U+0323	COMBINING DOT BELOW
⁂	̥	D	U+0325	COMBINING RING BELOW
⁂	̭	D	U+032D	COMBINING CIRCUMFLEX ACCENT BELOW
⁂	̮	D	U+032E	COMBINING BREVE BELOW
⁂	\:	M	U+003A	COLON
⁂	\.	M	U+002E	FULL STOP
	'	S	U+0027	APOSTROPHE
⁂	’	M	U+2019	RIGHT SINGLE QUOTATION MARK
⁂	/	T	U+002F	SOLIDUS
⁂	\\	T	U+005C	REVERSE SOLIDUS
	ˌ	S	U+02CC	MODIFIER LETTER LOW VERTICAL LINE
⁂	△	M	U+25B3	WHITE UP-POINTING TRIANGLE
	a	L	U+0061	LATIN SMALL LETTER A
	A	L	U+0041	LATIN CAPITAL LETTER A
	æ	L	U+00E6	LATIN SMALL LETTER AE
	ɑ	L	U+0251	LATIN SMALL LETTER ALPHA
	b	L	U+0062	LATIN SMALL LETTER B
	c	L	U+0063	LATIN SMALL LETTER C
	d	L	U+0064	LATIN SMALL LETTER D
	e	L	U+0065	LATIN SMALL LETTER E
	E	L	U+0045	LATIN CAPITAL LETTER E
	ɇ	L	U+0247	LATIN SMALL LETTER E WITH STROKE
	ǝ	L	U+01DD	LATIN SMALL LETTER TURNED E
	f	L	U+0066	LATIN SMALL LETTER F
	g	L	U+0067	LATIN SMALL LETTER G
	ɣ	L	U+0263	LATIN SMALL LETTER GAMMA
	h	L	U+0068	LATIN SMALL LETTER H
⁂	ʰ	M	U+02B0	MODIFIER LETTER SMALL H
	i	L	U+0069	LATIN SMALL LETTER I
	ɨ	L	U+0268	LATIN SMALL LETTER I WITH STROKE
	j	L	U+006A	LATIN SMALL LETTER J
	ɉ	L	U+0249	LATIN SMALL LETTER J WITH STROKE
	k	L	U+006B	LATIN SMALL LETTER K
	l	L	U+006C	LATIN SMALL LETTER L
	ł	L	U+0142	LATIN SMALL LETTER L WITH STROKE
	ʎ	L	U+028E	LATIN SMALL LETTER TURNED Y
	m	L	U+006D	LATIN SMALL LETTER M
	n	L	U+006E	LATIN SMALL LETTER N
	ɲ	L	U+0272	LATIN SMALL LETTER N WITH LEFT HOOK
	ŋ	L	U+014B	LATIN SMALL LETTER ENG
	o	L	U+006F	LATIN SMALL LETTER O
	ø	L	U+00F8	LATIN SMALL LETTER O WITH STROKE
	œ	L	U+0153	LATIN SMALL LIGATURE OE
	ɔ	L	U+0254	LATIN SMALL LETTER OPEN O
⁂	ᵓ	M	U+1D53	MODIFIER LETTER SMALL OPEN O
	p	L	U+0070	LATIN SMALL LETTER P
	q	L	U+0071	LATIN SMALL LETTER Q
	r	L	U+0072	LATIN SMALL LETTER R
	R	L	U+0052	LATIN CAPITAL LETTER R
	s	L	U+0073	LATIN SMALL LETTER S
	ʃ	L	U+0283	LATIN SMALL LETTER SQUAT REVERSED ESH
	ʅ	L	U+0285	LATIN SMALL LETTER SQUAT REVERSED ESH
	t	L	U+0074	LATIN SMALL LETTER T
	u	L	U+0075	LATIN SMALL LETTER U
	ʉ	L	U+0289	LATIN SMALL LETTER U BAR
	ɥ	L	U+0265	LATIN SMALL LETTER TURNED H
	v	L	U+0076	LATIN SMALL LETTER V
	ʌ	L	U+028C	LATIN SMALL LETTER TURNED V
	w	L	U+0077	LATIN SMALL LETTER W
⁂	ʷ	M	U+02B7	MODIFIER LETTER SMALL W
	x	L	U+0078	LATIN SMALL LETTER X
	y	L	U+0079	LATIN SMALL LETTER Y
	z	L	U+007A	LATIN SMALL LETTER Z
	ƶ	L	U+01B6	LATIN SMALL LETTER Z WITH STROKE
	ʒ	L	U+0292	LATIN SMALL LETTER EZH
	ˀ	M	U+02C0	MODIFIER LETTER GLOTTAL STOP
	β	L	U+03B2	GREEK SMALL LETTER BETA
	δ	L	U+03B4	GREEK SMALL LETTER DELTA
	ε	L	U+03B5	GREEK SMALL LETTER EPSILON
	θ	L	U+03B8	GREEK SMALL LETTER THETA
	φ	L	U+03C6	GREEK SMALL LETTER PHI
	Ω	L	U+03A9	GREEK CAPITAL LETTER OMEGA
	T?LD*[MT]*D*(T?B+S?[Lʰ]D*[MT]*D*)*
