ID	Place	Group	Originals	Simplified	COGID	Alignment
01.0.001	Vrith	Albanian	t͟sĩkθ	t͟sĩkθ	1	t͟s ĩ - k θ
01.0.001	Vrith	Albanian	'mi̭eguł	mi̭eguł	2	m i̭ e - g u ł - - - -
01.0.002	Pac	Albanian	je'xēr	jexēr	3	j e x ē r
01.0.003	Burgajet	Albanian	'ɲeguł	ɲeguł	2	ɲ - e - g u ł - - - -
01.0.004	Shkallnuer	Albanian	'mi̭eguł	mi̭eguł	2	m i̭ e - g u ł - - - -
01.0.005	Çibërraka	Albanian	'ni̭eguł	ni̭eguł	2	n i̭ e - g u ł - - - -
01.0.006	Këmbëthekër	Albanian	'mi̭eguł	mi̭eguł	2	m i̭ e - g u ł - - - -
01.0.007	Luar	Albanian	'mi̭eguł	mi̭eguł	2	m i̭ e - g u ł - - - -
01.0.008	Sheper	Albanian	'mi̭ełgur	mi̭ełgur	2	m i̭ e ł g u r - - - -
01.0.009	Vuno	Albanian	'mi̭eguł	mi̭eguł	2	m i̭ e - g u ł - - - -
01.0.010	Shalës	Albanian	'mi̭eŋguł	mi̭eŋguł	2	m i̭ e ŋ g u ł - - - -
02.0.001	Schärding	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.002	Geboltskirchen	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.003	Rohrbach	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.004	Kremsmünster	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.005	Göstling	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.006	Freistadt	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.007	Grosspertholz	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.008	Waidhofen a.d. Thaya	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.010	Unterretzbach	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.011	Absdorf	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.013	Stillfried	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.014	Schruns	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.015	Schnepfau	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.017	Elbigenalp	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.018	Münster	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.019	Zell am Ziller	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.020	Brixen im Thale	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.021	Piesendorf	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.022	Saalfelden	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.024	Dorfbeuern	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.025	Zederhaus	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.026	Ebensee	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.027	Stainach	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.028	Niederwölz	Germanic	n'e͟ibl	ne͟ibl	5	n - e͟i b - - l - - - - - - -
02.0.028	Niederwölz	Germanic	n'e͟ibǝ	ne͟ibǝ	5	n - e͟i b ǝ - - - - - - - - -
02.0.029	Kammern	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.030	Kainach	Germanic	n'a͟evǝl	na͟evǝl	5	n - a͟e v ǝ - l - - - - - - -
02.0.031	Türnitz a.d. Traisen	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.032	Veitsch	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.033	Weiz	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.034	Schachen bei Vorau	Germanic	n'e͟ibl	ne͟ibl	5	n - e͟i b - - l - - - - - - -
02.0.034	Schachen bei Vorau	Germanic	n'e͟ibǝ	ne͟ibǝ	5	n - e͟i b ǝ - - - - - - - - -
02.0.035	Prigglitz bei Gloggnitz	Germanic	n'e͟ibǝ	ne͟ibǝ	5	n - e͟i b ǝ - - - - - - - - -
02.0.035	Prigglitz bei Gloggnitz	Germanic	n'e͟ibl	ne͟ibl	5	n - e͟i b - - l - - - - - - -
02.0.036	Mogersdorf	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.037	Stegersbach	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.038	Gols am Neusiedler See	Germanic	n'e͟ibl	ne͟ibl	5	n - e͟i b - - l - - - - - - -
02.0.038	Gols am Neusiedler See	Germanic	n'e͟ibǝ	ne͟ibǝ	5	n - e͟i b ǝ - - - - - - - - -
02.0.039	Tadten	Germanic	n'e͟ibǝ	ne͟ibǝ	5	n - e͟i b ǝ - - - - - - - - -
02.0.039	Tadten	Germanic	n'e͟ibl	ne͟ibl	5	n - e͟i b - - l - - - - - - -
02.0.040	Sölden	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.041	Ausservillgratten	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.042	Dellach a.d. Drau	Germanic	n'e͟ibǝ	ne͟ibǝ	5	n - e͟i b ǝ - - - - - - - - -
02.0.042	Dellach a.d. Drau	Germanic	n'e͟ibl	ne͟ibl	5	n - e͟i b - - l - - - - - - -
02.0.043	Seeboden am Millstättersee	Germanic	n'ε̄bǝl	nε̄bǝl	5	n - ε̄ b ǝ - l - - - - - - -
02.0.044	Weitensfeld im Gurktal	Germanic	n'e͟ibl	ne͟ibl	5	n - e͟i b - - l - - - - - - -
02.0.044	Weitensfeld im Gurktal	Germanic	n'e͟ibǝ	ne͟ibǝ	5	n - e͟i b ǝ - - - - - - - - -
02.0.046	Wolfsberg	Germanic	n'ε̄vǝl	nε̄vǝl	5	n - ε̄ v ǝ - l - - - - - - -
02.0.047	Schwanberg	Germanic	n'e͟ibl	ne͟ibl	5	n - e͟i b - - l - - - - - - -
02.0.047	Schwanberg	Germanic	n'e͟ibǝ	ne͟ibǝ	5	n - e͟i b ǝ - - - - - - - - -
02.0.048	Halbenrain	Germanic	n'e͟ibǝ	ne͟ibǝ	5	n - e͟i b ǝ - - - - - - - - -
02.0.048	Halbenrain	Germanic	n'e͟ibl	ne͟ibl	5	n - e͟i b - - l - - - - - - -
02.1.101	Großwarasdorf	Slavic	ma̍gla	ma̩gla	6	- m a̩ g l - a - -
02.1.102	Ludmannsdorf	Slavic	mǝhwa̍	mǝhwa̩	6	- m ǝ h w - a̩ - -
03.1.101	Fontenoy	Romance	bruj'ār	brujār	7	b r u - - - j ā r
03.1.101	Fontenoy	Romance	brym	brym	7	b r y - - m - - -
03.1.102	Pâturages	Romance	bruj'ār	brujār	7	b r u - - - j ā r
03.1.103	Jamioulx	Romance	bruj'ār	brujār	7	b r u - - - j ā r
03.1.104	Jauchelette	Romance	bruj'ār	brujār	7	b r u - - - j ā r
03.1.105	Spontin	Romance	bruj'ār	brujār	7	b r u - - - j ā r
03.1.106	Flémalle-Haute	Romance	bruh'ør	bruhør	7	b r u - - - h ø r
03.1.106	Flémalle-Haute	Romance	bruj'ār	brujār	7	b r u - - - j ā r
03.1.107	Francorchamps	Romance	bruh'ør	bruhør	7	b r u - - - h ø r
03.1.107	Francorchamps	Romance	bruj'ār	brujār	7	b r u - - - j ā r
03.1.108	Tillet	Romance	bruj'ār	brujār	7	b r u - - - j ā r
03.1.109	Buzenol	Romance	bruj'ār	brujār	7	b r u - - - j ā r
04.0.001	Garvan	Slavic	mǝgl'ǝ	mǝglǝ	6	- m ǝ g l - ǝ - -
04.0.002	Rakovica	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.002	Rakovica	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.003	Brakjovci	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.003	Brakjovci	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.004	Slavotin	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.004	Slavotin	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.005	Altimir	Slavic	mǝgl'ǝ	mǝglǝ	6	- m ǝ g l - ǝ - -
04.0.006	Staro selo	Slavic	mǝgl'ǝ	mǝglǝ	6	- m ǝ g l - ǝ - -
04.0.007	Brest	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.007	Brest	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.008	Stojanovo	Slavic	mǝgl'ǝ	mǝglǝ	6	- m ǝ g l - ǝ - -
04.0.009	Dekov	Slavic	mǝgl'ǝ	mǝglǝ	6	- m ǝ g l - ǝ - -
04.0.010	Višovgrad	Slavic	mǝgl'ǝ	mǝglǝ	6	- m ǝ g l - ǝ - -
04.0.011	Kesarevo	Slavic	mǝgl'ǝ	mǝglǝ	6	- m ǝ g l - ǝ - -
04.0.012	Hlebarovo	Slavic	mǝgl'ǝ	mǝglǝ	6	- m ǝ g l - ǝ - -
04.0.013	Vardun	Slavic	mǝgl'ǝ	mǝglǝ	6	- m ǝ g l - ǝ - -
04.0.014	Medovo	Slavic	mǝgl'ǝ	mǝglǝ	6	- m ǝ g l - ǝ - -
04.0.015	Krivnja	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.015	Krivnja	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.016	Trekljano	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.016	Trekljano	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.017	Stob	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.017	Stob	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.018	Rakitovo	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.018	Rakitovo	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.019	Smolsko	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.019	Smolsko	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.020	Dăbene	Slavic	mǝgl'ǝ	mǝglǝ	6	- m ǝ g l - ǝ - -
04.0.021	Brestnik	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.021	Brestnik	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.022	Šipka	Slavic	mǝgl'ǝ	mǝglǝ	6	- m ǝ g l - ǝ - -
04.0.023	Karadžalovo	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.023	Karadžalovo	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.024	Korten	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.024	Korten	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.025	Glavan	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.025	Glavan	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.026	Devetinci	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.026	Devetinci	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.027	Ružica	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.027	Ružica	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.028	Stoilovo	Slavic	mǝgl'ǝ	mǝglǝ	6	- m ǝ g l - ǝ - -
04.0.029	Levunovo	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.029	Levunovo	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.030	Tešovo	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.030	Tešovo	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.031	Smiljan	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
04.0.031	Smiljan	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.032	Tihomir	Slavic	m'ǝglʌ	mǝglʌ	6	- m ǝ g l - ʌ - -
04.0.032	Tihomir	Slavic	mǝgl'A	mǝglA	6	- m ǝ g l - A - -
05.0.001	Børglum	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.002	Sennels	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.003	Tvis	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.004	Ars	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.005	Houlbjerg	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.006	Lyngby	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.007	Tved	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.008	Aal	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.009	Vodder	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.010	Barrit	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.011	Flemløse	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.012	Revninge	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.013	Kolby	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.014	Buerup	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.015	Lille Lyngby	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.016	Strøby	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.017	Felsted	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.018	Snøde	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.019	Toreby	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.020	Klemensker	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
05.0.301	Viöl	Germanic	nēbǝl	nēbǝl	5	n - ē b ǝ - l - - - - - - -
05.0.301	Viöl	Germanic	tʰɔ̄ɣǝ	tʰɔ̄ɣǝ	10	tʰ ɔ̄ ɣ - ǝ -
06.0.001	Sísamo	Romance	br'εtimA	brεtimA	7	b r ε t i m - A -
06.0.002	Aranga	Romance	br'εtimA	brεtimA	7	b r ε t i m - A -
06.0.003	Cervo	Romance	nḙβo̭'ḙjro̭	nḙβo̭ḙjro̭	5	n - ḙ β o̭ḙj - r - - o̭ - - - -
06.0.003	Cervo	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.004	Taramundi	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.005	Leitariegos	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.006	Muros de Nalón	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.007	Pola de Laviana	Romance	bɔr̄'inA	bɔr̄inA	13	b ɔ - r̄ - i n - - - A
06.0.007	Pola de Laviana	Romance	bɔr̄'εɳ	bɔr̄εŋ	13	b ɔ - r̄ - ε ŋ - - - -
06.0.008	Sotres	Romance	bɔr̄'εɳ	bɔr̄εŋ	13	b ɔ - r̄ - ε ŋ - - - -
06.0.009	Lores	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.010	Oreña	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.011	Campo de Suso	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.012	Laredo	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.013	Villasana de Mena	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.017	Vera de Bidasoa	Romance	n'uβez β'axAs	nuβezβaxAs	5	n - u β e - - - - - - - z -
06.0.017	Vera de Bidasoa	Romance	la ɲ'uβl'axu	laɲuβlaxu	5	ɲ - u β - - l a x u - - - -
06.0.018	Carnota	Romance	br'εtimA	brεtimA	7	b r ε t i m - A -
06.0.018	Carnota	Romance	bo̭r̄As'ḙjrA	bo̭r̄AsḙjrA	2113	b o̭ r̄ A s ḙ j r A
06.0.019	O Grove	Romance	b'ojrA	bojrA	13	b o j r - A - - - - -
06.0.019	O Grove	Romance	br'εtimA	brεtimA	7	b r ε t i m - A -
06.0.020	Avión	Romance	n'eβo̭A	neβo̭A	5	n - e β - - - - - o̭A - - - -
06.0.021	Agolada	Romance	br'εtimA	brεtimA	7	b r ε t i m - A -
06.0.022	Ríocaldo	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.023	Vilarino Frío	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.024	Bóveda	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.025	Campobecerros	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.026	Baralla	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.027	Oencia	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.028	Castrocontrigo	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.029	Villagatón	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.030	La Vecilla	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.031	Zorita de la Loma	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.032	Carrión de los Condes	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.033	Humada	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.034	Mazuelo de Muño	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.036	Viniegra de Arriba	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.039	Galilea	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.040	Salinas de Oro	Romance	b'orjA	borjA	13	b o - r j A - - - - -
06.0.040	Salinas de Oro	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.041	Sos del Rey Católico	Romance	b'orjA	borjA	13	b o - r j A - - - - -
06.0.042	Hecho	Romance	b'ojrA	bojrA	13	b o j r - A - - - - -
06.0.042	Hecho	Romance	b'orjA	borjA	13	b o - r j A - - - - -
06.0.043	Angüés	Romance	bw'εjrA	bwεjrA	13	b w - - - εj r - - - A
06.0.044	Fanlo	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.046	A Guarda	Romance	nḙβo̭'ḙjro̭	nḙβo̭ḙjro̭	5	n - ḙ β o̭ḙj - r - - o̭ - - - -
06.0.047	Hermisende	Romance	neβr'inA	neβrinA	5	n - e β - - r i n A - - - -
06.0.047	Hermisende	Romance	n'eβlA	neβlA	5	n - e β - - l - - A - - - -
06.0.048	Fermoselle	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.049	Pozuelo de Tábara	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.050	Venialbo	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.051	Mota del Marqués	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.052	Madrigal de las Atlas	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
06.0.053	Íscar	Romance	nj'eβlA	njeβlA	5	n j e β - - l - - A - - - -
