ID	Place	Group	Originals	Simplified	COGID	Alignment
01.0.001	Albanian	Albanian	br̄āk	br̄āk	1	b r̄ ā - - k
01.0.002	Albanian	Albanian	pus	pus	2	- - - - p u - s - - -
01.0.003	Albanian	Albanian	hūrδ	hūrδ	3	h ū r δ
01.0.004	Albanian	Albanian	hūrδ	hūrδ	3	h ū r δ
01.0.005	Albanian	Albanian	hūrδ	hūrδ	3	h ū r δ
01.0.006	Albanian	Albanian	petguʃk	petguʃk	4	p e t g u ʃ k -
01.0.007	Albanian	Albanian	pet'gat͟ʃe	petgat͟ʃe	4	p e t g a t͟ʃ - e
01.0.007	Albanian	Albanian	togat͟ʃe	togat͟ʃe	4	t o - g a t͟ʃ - e
01.0.008	Albanian	Albanian	petk	petk	4	p e t - - - k -
01.0.009	Albanian	Albanian	petk	petk	4	p e t - - - k -
01.0.010	Albanian	Albanian	lut͟s	lut͟s	6	l u t͟s
02.0.001	German	Germanic	l'atʃn	latʃn	1007	l a t ʃ n
02.0.002	German	Germanic	l'ā dʒn	lādʒn	1007	l ā d ʒ n
02.0.003	German	Germanic	l'ɔkɔ	lɔkɔ	7	- - - - - - - l ɔ k - ɔ - - - - - - - - - -
02.0.004	German	Germanic	l'ɔtʃn	lɔtʃn	1007	l ɔ t ʃ n
02.0.005	German	Germanic	l'ɔkŋ	lɔkŋ	7	- - - - - - - l ɔ k - - ŋ - - - - - - - - -
02.0.006	German	Germanic	l'ā dʒn	lādʒn	1007	l ā d ʒ n
02.0.007	German	Germanic	l'ɔkɔ	lɔkɔ	7	- - - - - - - l ɔ k - ɔ - - - - - - - - - -
02.0.008	German	Germanic	l'ɔkɔ	lɔkɔ	7	- - - - - - - l ɔ k - ɔ - - - - - - - - - -
02.0.009	German	Germanic	l'ɔkŋ	lɔkŋ	7	- - - - - - - l ɔ k - - ŋ - - - - - - - - -
02.0.010	German	Germanic	l'ɔkɔ	lɔkɔ	7	- - - - - - - l ɔ k - ɔ - - - - - - - - - -
02.0.011	German	Germanic	l'ɔkɔ	lɔkɔ	7	- - - - - - - l ɔ k - ɔ - - - - - - - - - -
02.0.012	German	Germanic	l'ɔkɔ	lɔkɔ	7	- - - - - - - l ɔ k - ɔ - - - - - - - - - -
02.0.013	German	Germanic	l'ɔkɔ	lɔkɔ	7	- - - - - - - l ɔ k - ɔ - - - - - - - - - -
02.0.014	German	Germanic	pf'ytsn	pfytsn	118	p f - y - t s - n -
02.0.015	German	Germanic	l'axɔ	laxɔ	7	- - - - - - - l a - x ɔ - - - - - - - - - -
02.0.017	German	Germanic	l'ɔxɔ	lɔxɔ	7	- - - - - - - l ɔ - x ɔ - - - - - - - - - -
02.0.018	German	Germanic	l'akx	lakx	7	- - - - - - - l a k x - - - - - - - - - - -
02.0.019	German	Germanic	l'akxe	lakxe	7	- - - - - - - l a k x e - - - - - - - - - -
02.0.020	German	Germanic	l'ɔkx	lɔkx	7	- - - - - - - l ɔ k x - - - - - - - - - - -
02.0.021	German	Germanic	l'ɔkxŋ	lɔkxŋ	7	- - - - - - - l ɔ k x - ŋ - - - - - - - - -
02.0.021	German	Germanic	gl'akx	glakx	7	- - - - - - g l a k x - - - - - - - - - - -
02.0.022	German	Germanic	l'ɔkx	lɔkx	7	- - - - - - - l ɔ k x - - - - - - - - - - -
02.0.024	German	Germanic	l'ɔkxɔ	lɔkxɔ	7	- - - - - - - l ɔ k x ɔ - - - - - - - - - -
02.0.025	German	Germanic	l'ɔkxŋ	lɔkxŋ	7	- - - - - - - l ɔ k x - ŋ - - - - - - - - -
02.0.026	German	Germanic	l'ɔkxɔ	lɔkxɔ	7	- - - - - - - l ɔ k x ɔ - - - - - - - - - -
02.0.027	German	Germanic	l'ɔkxŋ	lɔkxŋ	7	- - - - - - - l ɔ k x - ŋ - - - - - - - - -
02.0.028	German	Germanic	l'ɔkxŋ	lɔkxŋ	7	- - - - - - - l ɔ k x - ŋ - - - - - - - - -
02.0.029	German	Germanic	l'ɔkxŋ	lɔkxŋ	7	- - - - - - - l ɔ k x - ŋ - - - - - - - - -
02.0.030	German	Germanic	l'ɔkxŋ	lɔkxŋ	7	- - - - - - - l ɔ k x - ŋ - - - - - - - - -
02.0.031	German	Germanic	l'ɔkŋ	lɔkŋ	7	- - - - - - - l ɔ k - - ŋ - - - - - - - - -
02.0.032	German	Germanic	l'ɔkxŋ	lɔkxŋ	7	- - - - - - - l ɔ k x - ŋ - - - - - - - - -
02.0.033	German	Germanic	l'ɔkxŋ	lɔkxŋ	7	- - - - - - - l ɔ k x - ŋ - - - - - - - - -
02.0.034	German	Germanic	l'ɔkxɔ	lɔkxɔ	7	- - - - - - - l ɔ k x ɔ - - - - - - - - - -
02.0.035	German	Germanic	l'ɔkŋ	lɔkŋ	7	- - - - - - - l ɔ k - - ŋ - - - - - - - - -
02.0.036	German	Germanic	l'ɔkŋ	lɔkŋ	7	- - - - - - - l ɔ k - - ŋ - - - - - - - - -
02.0.037	German	Germanic	l'ɔkŋ	lɔkŋ	7	- - - - - - - l ɔ k - - ŋ - - - - - - - - -
02.0.038	German	Germanic	l'ɔkɔ	lɔkɔ	7	- - - - - - - l ɔ k - ɔ - - - - - - - - - -
